0001,...AND YOU WILL KNOW US BY THE TRAIL OF DEAD | $40,SMALL | 100% Cotton | Anvil
0002,QUEENS OF THE STONE AGE | $50,Queens Of The Stone Age | 2011 Self-Titled Tour<br>MEDIUM | 100% Cotton | Tultex
0003,TOOL | $60,Tool | 2010 Tour<br>MEDIUM | 100% Cotton | Anvil
0004,STONE TEMPLE PILOTS | $50,Stone Temple Pilots | 2008 Tour<br>LARGE | 100% Cotton | Anvil
0005,ALICE IN CHAINS | $40,Alice In Chains | Black Gives Way To Blue Tour 2010<br>MEDIUM | 100% Cotton | Bay Island Sportswear
0006,KILLSWITCH ENGAGE | $40,Killswitch Engage | Alive Or Just Breathing: 10 Years 2002-2012<br>SMALL | 100% Preshrunk Cotton | Gildan
0007,AVENGED SEVENFOLD | $50,Avenged Sevenfold | Cities Of Evil Tour 2006<br>LARGE | 100% Preshrunk Cotton | Delta ProWeight
0008,DEFTONES | $50,Deftones | Tour 2006-07<br>MEDIUM | 100% Preshrunk Cotton | Alstyle Apparel & Activewear
0009,SPARTA | $40,MEDIUM | 60% Cotton/40% Polyester | Pacific
0010,FILTER | $40,Filter | Make America Hate Again Tour 2016<br>MEDIUM | 100% Cotton | Gildan
0011,DEFTONES | $50,Deftones | Koi No Yokan Tour 2012<br>SMALL | 100% Cotton | Next Level apparel
0012,INFECTED MUSHROOM | $40,MEDIUM | Unlisted (cotton/blend)
0013,BARENAKED LADIES | $40,Barenaked Ladies | 2010 Tour<br>MEDIUM | Unlisted (cotton/blend) | Transmission Merchandise
0014,MATISYAHU | $40,Matisyahu | 2006 Tour<br>LARGE | 100% Combed Cotton | American Apparel
0015,IRON BUTTERFLY | $40,Iron Butterfly | SIGNED by Ron Bushy and Lee Dorman<br>LARGE | 100% Cotton | Gildan
0016,BAUHAUS | $40,Bauhaus | Near The Atmosphere 2005 Tour<br>LARGE | 100% Preshrunk Cotton | Anvil
0017,GIGANTOUR | $50,GIGANTOUR | North America 2008 Tour<br>LARGE | 100% Preshrunk Cotton | Anvil
0018,TREASURE ISLAND MUSIC FESTIVAL | $40,Treasure Island Music Festival | 2009<br>MEDIUM | 100% Cotton | Alternative Apparel
0019,EARTH WIND & FIRE | $50,Earth Wind & Fire | The Legacy Continues 1969-2009 Tour<br>MEDIUM | 100% Preshrunk Combed Ringspun Cotton | Tultex
0020,VOLTAIRE | $40,Voltaire | The Bottom Of The Sea 2009 Tour<br>MEDIUM | 100% Preshrunk Cotton | Gildan
0021,TOOL | $60,Tool | 10000 Days Fall 2006 Tour<br>MEDIUM | 100% Preshrunk Cotton | Anvil
0022,TOOL | $60,Tool | Fall Tour 2007<br>LARGE | 100% Preshrunk Cotton | Anvil
0023,TOOL | $60,Tool | 10000 Days Spring 2006 Tour<br>LARGE | 100% Preshrunk Cotton | Anvil
0024,INFECTED MUSHROOM | $40,Infected Mushroom | Vicious Delicious<br>MEDIUM | Unlisted (cotton/blend) | Plazma
